Date;Price
03/12/2025;1.844,61
03/11/2025;1.922,28
03/10/2025;1.864,40
03/09/2025;2.019,89
03/08/2025;2.203,59
03/07/2025;2.141,17
03/06/2025;2.202,39
03/05/2025;2.241,65
03/04/2025;2.170,29
03/03/2025;2.149,11
03/02/2025;2.518,17
03/01/2025;2.217,53
02/28/2025;2.236,41
02/27/2025;2.307,73
02/26/2025;2.337,98
02/25/2025;2.496,06
02/24/2025;2.510,94
02/23/2025;2.819,69
02/22/2025;2.763,23
02/21/2025;2.662,35
02/20/2025;2.738,03
02/19/2025;2.716,16
02/18/2025;2.671,36
02/17/2025;2.743,47
02/16/2025;2.662,80
02/15/2025;2.693,40
02/14/2025;2.725,51
02/13/2025;2.675,30
02/12/2025;2.735,91
02/11/2025;2.603,11
02/10/2025;2.661,00
02/09/2025;2.628,27
02/08/2025;2.631,56
02/07/2025;2.622,81
02/06/2025;2.688,28
02/05/2025;2.785,62
02/04/2025;2.731,76
02/03/2025;2.881,90
02/02/2025;2.869,75
02/01/2025;3.119,13
01/31/2025;3.298,69
01/30/2025;3.247,22
01/29/2025;3.113,26
01/28/2025;3.077,83
01/27/2025;3.179,47
01/26/2025;3.234,18
01/25/2025;3.318,14
01/24/2025;3.311,05
01/23/2025;3.338,37
01/22/2025;3.242,60
01/21/2025;3.328,30
01/20/2025;3.282,68
01/19/2025;3.216,74
01/18/2025;3.308,74
01/17/2025;3.472,84
01/16/2025;3.307,00
01/15/2025;3.450,79
01/14/2025;3.224,06
01/13/2025;3.137,73
01/12/2025;3.267,30
01/11/2025;3.283,57
01/10/2025;3.267,08
01/09/2025;3.218,15
01/08/2025;3.327,14
01/07/2025;3.380,56
01/06/2025;3.687,75
01/05/2025;3.635,11
01/04/2025;3.656,13
01/03/2025;3.608,79
01/02/2025;3.455,19
01/01/2025;3.360,14
12/31/2024;3.337,80
12/30/2024;3.361,99
12/29/2024;3.355,97
12/28/2024;3.404,59
12/27/2024;3.334,19
12/26/2024;3.335,96
12/25/2024;3.496,49
12/24/2024;3.493,31
12/23/2024;3.422,01
12/22/2024;3.281,58
12/21/2024;3.338,66
12/20/2024;3.474,01
12/19/2024;3.418,84
12/18/2024;3.627,88
12/17/2024;3.892,79
12/16/2024;3.986,91
12/15/2024;3.959,81
12/14/2024;3.871,13
12/13/2024;3.909,48
12/12/2024;3.881,63
12/11/2024;3.831,41
12/10/2024;3.628,94
12/09/2024;3.718,98
12/08/2024;4.002,91
12/07/2024;3.996,24
12/06/2024;3.999,51
12/05/2024;3.785,10
12/04/2024;3.836,25
12/03/2024;3.615,07
12/02/2024;3.643,48
12/01/2024;3.708,33
11/30/2024;3.702,97
11/29/2024;3.592,13
11/28/2024;3.578,41
11/27/2024;3.653,79
11/26/2024;3.326,30
11/25/2024;3.412,18
11/24/2024;3.361,41
11/23/2024;3.393,91
11/22/2024;3.327,77
11/21/2024;3.356,43
11/20/2024;3.069,72
11/19/2024;3.105,97
11/18/2024;3.207,46
11/17/2024;3.075,42
11/16/2024;3.132,00
11/15/2024;3.089,45
11/14/2024;3.058,22
11/13/2024;3.187,02
11/12/2024;3.242,44
11/11/2024;3.372,13
11/10/2024;3.186,05
11/09/2024;3.127,69
11/08/2024;2.961,34
11/07/2024;2.894,13
11/06/2024;2.721,85
11/05/2024;2.422,50
11/04/2024;2.398,95
11/03/2024;2.457,68
11/02/2024;2.492,45
11/01/2024;2.511,96
10/31/2024;2.519,14
10/30/2024;2.658,62
10/29/2024;2.638,64
10/28/2024;2.567,41
10/27/2024;2.507,39
10/26/2024;2.482,52
10/25/2024;2.441,18
10/24/2024;2.535,87
10/23/2024;2.526,10
10/22/2024;2.621,79
10/21/2024;2.666,66
10/20/2024;2.747,28
10/19/2024;2.647,39
10/18/2024;2.641,72
10/17/2024;2.605,53
10/16/2024;2.611,09
10/15/2024;2.607,84
10/14/2024;2.630,54
10/13/2024;2.468,92
10/12/2024;2.476,48
10/11/2024;2.436,73
10/10/2024;2.385,40
10/09/2024;2.370,13
10/08/2024;2.440,93
10/07/2024;2.422,75
10/06/2024;2.440,33
10/05/2024;2.414,98
10/04/2024;2.414,43
10/03/2024;2.349,67
10/02/2024;2.365,57
10/01/2024;2.449,67
09/30/2024;2.603,48
09/29/2024;2.657,67
09/28/2024;2.675,71
09/27/2024;2.694,53
09/26/2024;2.632,05
09/25/2024;2.580,34
09/24/2024;2.652,50
09/23/2024;2.647,65
09/22/2024;2.582,35
09/21/2024;2.613,35
09/20/2024;2.561,79
09/19/2024;2.464,49
09/18/2024;2.372,18
09/17/2024;2.341,82
09/16/2024;2.295,72
09/15/2024;2.317,04
09/14/2024;2.417,56
09/13/2024;2.440,12
09/12/2024;2.361,79
09/11/2024;2.340,19
09/10/2024;2.387,71
09/09/2024;2.359,60
09/08/2024;2.296,19
09/07/2024;2.274,87
09/06/2024;2.225,72
09/05/2024;2.369,18
09/04/2024;2.450,18
09/03/2024;2.423,40
09/02/2024;2.538,35
09/01/2024;2.427,49
08/31/2024;2.513,56
08/30/2024;2.525,45
08/29/2024;2.528,72
08/28/2024;2.527,73
08/27/2024;2.457,99
08/26/2024;2.680,30
08/25/2024;2.747,99
08/24/2024;2.768,49
08/23/2024;2.762,86
08/22/2024;2.623,06
08/21/2024;2.630,67
08/20/2024;2.572,90
08/19/2024;2.637,10
08/18/2024;2.612,10
08/17/2024;2.614,35
08/16/2024;2.592,38
08/15/2024;2.569,44
08/14/2024;2.662,95
08/13/2024;2.702,95
08/12/2024;2.722,64
08/11/2024;2.553,57
08/10/2024;2.610,24
08/09/2024;2.598,90
08/08/2024;2.683,84
08/07/2024;2.337,83
08/06/2024;2.461,92
08/05/2024;2.415,99
08/04/2024;2.688,55
08/03/2024;2.904,59
08/02/2024;2.990,32
08/01/2024;3.204,93
07/31/2024;3.231,84
07/30/2024;3.278,94
07/29/2024;3.318,24
07/28/2024;3.270,32
07/27/2024;3.247,06
07/26/2024;3.275,12
07/25/2024;3.175,52
07/24/2024;3.335,33
07/23/2024;3.482,54
07/22/2024;3.440,01
07/21/2024;3.535,55
07/20/2024;3.517,04
07/19/2024;3.504,42
07/18/2024;3.425,94
07/17/2024;3.387,81
07/16/2024;3.442,99
07/15/2024;3.484,78
07/14/2024;3.243,50
07/13/2024;3.175,10
07/12/2024;3.133,33
07/11/2024;3.099,82
07/10/2024;3.101,17
07/09/2024;3.065,11
07/08/2024;3.019,64
07/07/2024;2.930,48
07/06/2024;3.068,79
07/05/2024;2.981,40
07/04/2024;3.057,81
07/03/2024;3.295,13
07/02/2024;3.421,71
07/01/2024;3.442,67
06/30/2024;3.437,84
06/29/2024;3.378,60
06/28/2024;3.380,15
06/27/2024;3.450,45
06/26/2024;3.370,72
06/25/2024;3.395,03
06/24/2024;3.352,29
06/23/2024;3.420,84
06/22/2024;3.495,87
06/21/2024;3.518,03
06/20/2024;3.512,91
06/19/2024;3.561,30
06/18/2024;3.484,55
06/17/2024;3.511,52
06/16/2024;3.625,11
06/15/2024;3.568,72
06/14/2024;3.481,84
06/13/2024;3.470,15
06/12/2024;3.559,95
06/11/2024;3.498,00
06/10/2024;3.667,85
06/09/2024;3.706,32
06/08/2024;3.681,59
06/07/2024;3.678,37
06/06/2024;3.812,95
06/05/2024;3.865,14
06/04/2024;3.810,35
06/03/2024;3.767,10
06/02/2024;3.782,08
06/01/2024;3.815,95
05/31/2024;3.762,66
05/30/2024;3.747,55
05/29/2024;3.769,57
05/28/2024;3.845,56
05/27/2024;3.894,33
05/26/2024;3.826,02
05/25/2024;3.749,28
05/24/2024;3.728,21
